"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Snowshoes","IDRotF","20","none","adventuring gear","","","","","4 lb.","2 gp","Snowshoes reduce the likelihood of their wearer getting stuck in the deep snow."
"Soap","PHB'14","150","none","adventuring gear","","","","","","2 cp",""
"Songhorn","SCAG","124","none","instrument","","","","","","","A recorder, a simple type of flute, usually carved from wood.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Soothsalts","EGW","152","none","adventuring gear","","","","","","150 gp","Soothsalts are derived from a naturally occurring crystalline substance discovered throughout the wilds of the Miskath Strand. The crimson crystals have been mined from cavernous veins like those in the mouth of the Miskath Pit and found within smaller geode formations near sites ravaged by the Calamity. Soothsalts are consumed orally in lozenge-sized doses, and frequent users can be identified by the telltale crimson stain around their mouths. A creature subjected to a dose of soothsalts gains advantage on all Intelligence checks for 1d4 hours.For each dose of soothsalts consumed, the creature must succeed on a DC 15 Constitution saving throw or gain one level of exhaustion—an effect which is cumulative with multiple doses."
"Space Galleon","AAG","46","none","vehicle (space)","","Speed: 4 mphCarrying Capacity: 20 tons cargoCrew 20, AC 15, HP 400, Damage Threshold 15","","","","30,000 gp","The space galleon is a mainstay among the host of vessels that ply Wildspace and the Astral Sea. Space galleons can easily pass for ordinary seafaring galleons. Because they can land on water and move across it like their namesakes, they can sail into ports on terrestrial worlds without attracting undue attention. Like an ordinary galleon, a space galleon isn't built to land on the ground (its keel would cause it to roll on its side). The ship's standard weaponry includes two forward-mounted ballistae and an aft-mounted mangonel."
"Spear","PHB'24","215","none","weapon, simple weapon, melee weapon","","1d6 Piercing","Thrown (20/60 ft.), Versatile (1d8)","Mastery: Sap","3 lb.","1 gp","Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"Spellbook","PHB'14","153","none","adventuring gear","","","","","3 lb.","50 gp","Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells."
"Spiked Armor","SCAG","121","unknown","medium armor","","AC 14 + Dex (max 2)","","","45 lb.","75 gp","Spiked armor is a rare type of medium armor made by dwarves. It consists of a leather coat and leggings covered with spikes that are usually made of metal.The wearer has Disadvantage on Dexterity (Stealth) checks."
"Spinosaurus","ToB1'23","103","none","mount","","","","","","2,000 gp","Before it can be ridden in combat, a spinosaurus dinosaur must practice bearing the weight of its trainer and passengers. They rarely master more than a handful of tricks, but they are extremely comfortable in the water and can be trained to be are aware that some of their riders may not breathe water.An adult spinosaurus can carry up to six tons as cargo. Riding a spinosaurus requires an exotic saddle, riding platform, or howdah."
"Splint Armor","PHB'24","219","none","heavy armor","","AC 17","","","60 lb.","200 gp","The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
"Sprig of Mistletoe","PHB'24","225","none","spellcasting focus","","","","","","1 gp","A Druidic Focus takes a specific form and is carved, tied with ribbon, or painted to channel primal magic. A Druid or Ranger can use such an object as a Spellcasting Focus."
"Spyglass","PHB'24","229","none","adventuring gear","","","","","1 lb.","1,000 gp","Objects viewed through a Spyglass are magnified to twice their size."
"Squid Ship","AAG","48","none","vehicle (space)","","Speed: 3½ mphCarrying Capacity: 20 tons cargoCrew 13, AC 15, HP 300, Damage Threshold 15","","","","25,000 gp","Among the oldest types of spelljamming vessels, squid ships are popular with privateers and are often used as patrol ships. Standard weapons on a squid ship include a forward-mounted mangonel, two aft-mounted ballistae, and a reinforced bow for ramming. The tentacles that extend from the bow account for nearly half the ship's keel length.Squid ships can float and sail on water, and they can land on the ground."
"Stabling (per day)","PHB'24","230","none","tack and harness","","","","","","5 cp",""
"Staff","PHB'24","224","none","staff, weapon, spellcasting focus, simple weapon, melee weapon","","1d6 Bludgeoning","versatile (1d8)","","4 lb.","5 gp","Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus."
"Star Moth","AAG","50","none","vehicle (space)","","Speed: 5½ mphCarrying Capacity: 30 tons cargoCrew 13, AC 13, HP 400, Damage Threshold 15","","","","40,000 gp","Star moths are ships constructed and flown by astral elves, who don't like it when these ships end up in the hands of others.A star moth's hull is fashioned from a grown and sculpted organic substance, and its enormous, decorative wings are made of shimmering crystal. The vessel is built for space travel, but its design does enable it to float on water or land safely on the ground. Standard weaponry includes two ballistae nestled in the star moth's eye holes and a mangonel mounted above the bridge."
"Stink Bomb","TDCSR","100","none","explosive","","","range 30 ft.","","","25 gp","This smelly explosive can be primed and thrown up to 30 feet as an action. It explodes at the start of your next turn. Creatures within 20 feet of it must make a DC 12 Constitution saving throw or be poisoned for 1 minute. A creature can repeat this save at the end of each of its turns, ending the effect on itself on a success."
"String","PHB'24","229","none","adventuring gear","","","","","","1 sp","String is 10 feet long. You can tie a knot in it as a Utilize action."
"Studded Leather Armor","PHB'24","219","none","light armor","","AC 12 + Dex","","","13 lb.","45 gp",""
"Survival Mantle","VGM","81","unknown","medium armor","","AC 15 + Dex (max 2)","","","40 lb.","","This carapace-like augmentation encases portions of the wearer's shoulders, neck, and chest. A survival mantle is equivalent to a suit of nonmagical half plate armor and takes just as long to don or doff. It can't be worn with other kinds of armor.A creature wearing a survival mantle can breathe normally in any environment (including a vacuum) and has advantage on saving throws against harmful gases (such as those created by a cloudkill spell, a stinking cloud spell, inhaled poisons, and the breath weapons of some dragons).The wearer has Disadvantage on Dexterity (Stealth) checks."
"Tangler Grenade","WDMM","244","none","other","","","","","","","A tangler grenade is an alchemical, nonmagical item with an ovoid resin shell that shatters on impact. An as action, a creature can throw a tangler grenade at a point up to 60 feet away. Each creature within 10 feet of a shattered tangler grenade must succeed on a DC 15 Dexterity saving throw or be restrained by sticky white webs. As an action, a creature can try to free itself or another creature within its reach from the webs, doing so with a successful DC 20 Strength (Athletics) check. A gallon of alcohol dissolves the webs produced by a single tangler grenade. Otherwise, the webs dissolve on their own after 1 hour, freeing any creatures restrained by them."
"Tankard","PHB'14","153","none","adventuring gear","","","","","1 lb.","2 cp","A tankard holds 1 pint of liquid."
"Tantan","SCAG","124","none","instrument","","","","","","","A tambourine, a popular instrument with halflings and humans south of the Dalelands.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Tej","ToA","32","none","food and drink","","","","","5 lb.","","Tej is an amber-colored, fermented drink made from honey. It's more common and popular in Chult than beer or ale. A mug of tej costs 4 cp in Port Nyanzaru or 6 cp in Fort Beluarian. A 1-gallon cask costs 2 sp in the city or 3 sp at the fort."
"Tent","PHB'24","229","none","adventuring gear","","","","","20 lb.","2 gp","A Tent sleeps up to two Small or Medium creatures."
"The Incantations of Iriolarthas","IDRotF","317","unknown","adventuring gear","","","","","3 lb.","","The Incantations of Iriolarthas is a weighty spellbook. Its black leather covers have dead, toothy worms glued to them, sheathed in glossy varnish. Set into this morbid display on the front cover is a gold rune that resembles a stylized eye with a pupil shaped like a candle flame—the sigil of Iriolarthas, a Netherese lich.The book contains sixty pages of brittle yellow vellum. Written on these pages are the following wizard spells:1st level: alarm, detect magic, identify, magic missile, shield, Tasha's hideous laughter, thunderwave2nd level: arcane lock, continual flame, invisibility, knock, levitate, Melf's acid arrow, mirror image3rd level: animate dead, bestow curse, clairvoyance, counterspell, dispel magic, fireball, glyph of warding4th level: arcane eye, banishment, blight, dimension door, Evard's black tentacles, phantasmal killer5th level: Bigby's hand, cloudkill, dominate person, planar binding, scrying, telekinesis6th level: create undead, disintegrate, globe of invulnerability, move earth, Otto's irresistible dance7th level: create magen, finger of death, prismatic spray, teleport8th level: demiplane, dominate monster, mind blank, power word stun9th level: blade of disaster, power word kill"
"Theki Root","EGW","70","none","adventuring gear","","","","","","3 gp","This thick marsh root tastes bitter but is thought to aid digestive health. When you use an action to consume a dose, you gain advantage on saving throws against the effects of poisonous or toxic substances for 8 hours."
"Thelarr","SCAG","124","none","instrument","","","","","","","Also known as a whistlecane, a simple and easy-to-make wind instrument cut from a reed. They are so simple, in fact, that skilled bards frequently make and give them away to children—to the parents' delight or regret.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Thessaltoxin","IMR","93","none","poison (ingested or injury)","","","","","","","This poison was first created using blood harvested from the artificer Thessalar. A creature subjected to the poison must succeed on a DC 15 Constitution saving throw or take on a new form as if affected by the polymorph spell. The creature's new form is a random beast or a creature it has seen within the last 24 hours (as chosen by the DM). This transformation lasts until the end of the target's next long rest. This effect is not subject to dispel magic or remove curse, but a greater restoration spell restores the creature to its original form."
"Thieves' Tools","PHB'24","221","none","tool","","","","","1 lb.","25 gp","Ability: DexterityUtilize: Pick a lock (DC 15), or disarm a trap (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Three-Dragon Ante Set","PHB'24","221","none","gaming set","","","","","","1 gp","Ability: WisdomUtilize: Discern whether someone is cheating (DC 10), or win the game (DC 20)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Tinderbox","PHB'24","229","none","adventuring gear","","","","","1 lb.","5 sp","A Tinderbox is a small container holding flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a Candle, Lamp, Lantern, or Torch—or anything else with exposed fuel—takes a Bonus Action. Lighting any other fire takes 1 minute."
"Tinker's Tools","PHB'24","221","none","artisan's tools","","","","","10 lb.","50 gp","Ability: DexterityUtilize: Assemble a Tiny item composed of scrap, which falls apart in 1 minute (DC 20)Craft: Musket, Pistol, Bell, Bullseye Lantern, Flask, Hooded Lantern, Hunting Trap, Lock, Manacles, Mirror, Shovel, Signal Whistle, TinderboxArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Tocken","SCAG","124","none","instrument","","","","","","","A hanging set of carved oval bells, usually played with a pair of light wooden hammers (or open handed). They are most common in underground cultures, where the resonant tones can carry.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Tome of Strahd","CoS","221","none","adventuring gear","","","","","5 lb.","","The Tome of Strahd is an ancient work penned by Strahd, a tragic tale of how he came to his fallen state. The book is bound in a thick leather cover with steel hinges and fastenings. The pages are of parchment and very brittle. Most of the book is written in the curious shorthand that only Strahd employs. Stains and age have made most of the work illegible, but several paragraphs remain intact."
"Torch","PHB'24","229","none","adventuring gear","","","","","1 lb.","1 cp","A Torch burns for 1 hour, casting Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. When you take the Attack action, you can attack with the Torch, using it as a Simple Melee weapon. On a hit, the target takes 1 Fire damage."
"Torpor","DMG'24","91","none","adventuring gear, poison (ingested)","","","","","","600 gp","A creature subjected to Torpor poison must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 4d6 hours. The creature's Speed is halved while the creature is Poisoned in this way."
"Totem","PHB'14","151","none","spellcasting focus","","","","","","1 gp","A Druidic Focus takes a specific form and is carved, tied with ribbon, or painted to channel primal magic. A Druid or Ranger can use such an object as a Spellcasting Focus."
"Traveler's Clothes","PHB'24","225","none","adventuring gear","","","","","4 lb.","2 gp","Traveler's Clothes are resilient garments designed for travel in various environments."
"Trident","PHB'24","215","none","weapon, martial weapon, melee weapon","","1d8 Piercing","Thrown (20/60 ft.), Versatile (1d10)","Mastery: Topple","4 lb.","5 gp","Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Trinket","AI","222","none","adventuring gear","","","","","","","Worried that you're going to pull out your dead sprite inside a clear glass bottle at a company function only to discover that three other people in the franchise have one as well? Then consider rolling on the Acquisitions Incorporated Trinkets table instead of the table in chapter 5 of the Player's Handbook, to gain a unique trinket at character creation with a bit of Acq Inc flair.Acquisitions Incorporated Trinketsd100Trinket1A perfect skipping stone2Three weighted dice that always roll low3A locket with a picture of Jim Darkmagic4A tiny anvil and smith's hammer5A nonfunctional immovable rod6A DIY acupuncture kit7A stuffed owlbear toy8A diagram for a new war lute9A declaration of war against a nation no one has ever heard of10A pipe that emits green smoke11A glass eye12The centerpiece of a priceless chandelier13A fine cane with a secret compartment14A letter written by Rosie Beestinger15A coin that always lands on its edge16The deed and title to an abandoned windmill and three acres of tillable land that you've never been able to find17A menu from Big Daddy Donaar's Yum Yum Hut18A small purse that screams loudly when opened19A deep-crow-feather quill20A pair of breeches that always smells faintly of honey21A one-armed Viari doll (Apocalypse Dagger accessory missing)22A leather pouch filled with various finger bones of unknown provenance23The collar of your childhood pet, Nutmeg24A seashell that, when pressed to the ear, speaks in flowing rhymes25A recipe book for cooking with mushrooms26One expired coupon for ""A Free Cornerstone""27A portable beehive28Goggles that literally tint everything rose colored29A wand of wonder that allows you to cast only mending30A bracelet woven from mistletoe31A curved claw from an unknown beast that small children are always frightened of32A longsword that can be folded down in 1 minute and hidden in your pocket33A living graft of what you believe to be the World Tree34A tattered scarf with the Acquisitions Incorporated logo35A box containing a torn-up letter36An old contract marked ""Void""37A small pigeon in a cage38An Acquisitions Incorporated ""Green Flame"" foam finger39A ""C"" Team lunchbox40A potted plant that grows different fruit on every branch41A book of adventures for children42An Omin action figure with detachable maul and holy symbol43A pint glass engraved with a picture of a keg robot44A giant hockey puck45A miniature cannon that actually fires46A very fancy red scarf and matching handkerchief47An arrow once shot by Môrgæn48A purple worm toy49A burned doll whose eyes follow you around the room50An infinite inkwell51A band embroidered with the symbol of the Six52A squishy cactus53A velvet blindfold54A dirty figurine of a triceratops that can't be cleaned55A used (and thus nonmagical) noble knife from the Noble Knife56A quill that rotates through all the colors of the rainbow57A twenty-sided die that only rolls the number 458A pointed hat that glows in the dark59A cup that hums when filled with water60A mug fashioned from the skull of someone else's enemy61A small glass jar containing an immortal firefly62A fake mustache made from gnome facial hair63A petrified troll finger64Half of a map65The other half of a map66An unreasonable amount of pocket lint67A dozen flyers for a local gnome food place68Omin Dran's business card69A lock of hair from a changeling70A marble that rolls uphill71A piece of parchment listing a command word for a powerful magic item72A book titled Conversational Giant73A user's manual for an apparatus of Kwalish74A signed head shot of famous bard Spice Caraway75The eye of a basilisk in a crystal box76A postcard from Ravnica77A stamp collection78A small piece of solidified smoke79A six-sided die that sometimes rolls a seven80A left-hand gauntlet81A music box that plays nursery rhymes82A locket that's bigger on the outside than the inside83A potted plant that grows hair instead of leaves84A collection of teeth85A coin whose minting date always shows three years in the future86A green drinking horn taken from a very large bull87A small book containing pressed and dried botanical samples88A hatched chimera egg89A slightly used red bandit mask90A tiny stirge encased in amber91A large bottle of Red Larch Ale that can't be opened92A cane topped with a stylized golden bulldog93A note in your own hand that you don't remember writing94A sprig of herbs from your family's garden95A tankard stolen from the Dran & Courtier96A small, severed tentacle preserved in alcohol97A walnut with a face drawn on it98A small flask of liquid from the Lake of Radiant Mists99An ice cube that never melts00An expertly carved sword hilt with the blade snapped cleanly off"
"Trinket","CoS","2","none","adventuring gear","","","","","","","When you make your character, you can roll once on the Trinkets table to gain a trinket, a simple item lightly touched by mystery. The DM might also use this table. It can help stock a room in a dungeon or fill a creatures pockets.Curse of Strahd. Character Options, Gothic Trinket Tabled100Trinket01-02A picture you drew as a child of your imaginary friend03-04A lock that opens when blood is dripped in its keyhole05-06Clothes stolen from a scarecrow07-08A spinning top carved with four faces: happy, sad, wrathful, and dead09-10The necklace of a sibling who died on the day you were born11-12A wig from someone executed by beheading13-14The unopened letter to you from your dying father15-16A pocket watch that runs backward for an hour every midnight17-18A winter coat stolen from a dying soldier19-20A bottle of invisible ink that can only be read at sunset21-22A wineskin that refills when interred with a dead person for a night23-24A set of silverware used by a king for his last meal25-26A spyglass that always shows the world suffering a terrible storm27-28A cameo with the profile's face scratched away29-30A lantern with a black candle that never runs out and that burns with green flame31-32A teacup from a child's tea set, stained with blood33-34A little black book that records your dreams, and yours alone, when you sleep35-36A necklace formed of the interlinked holy symbols of a dozen deities37-38A hangman's noose that feels heavier than it should39-40A birdcage into which small birds fly but once inside never eat or leave41-42A lepidopterist's box filled dead moths with skulllike patterns on their wings43-44A jar of pickled ghouls' tongues45-46The wooden hand of a notorious pirate47-48An urn with the ashes of a dead relative49-50A hand mirror backed with a bronze depiction of a medusa51-52Pallid leather gloves crafted with ivory fingernails53-54Dice made from the knuckles of a notorious charlatan55-56A ring of keys for forgotten locks57-58Nails from the coffin of a murderer59-60A key to the family crypt61-62A bouquet of funerary flowers that always looks and smells fresh63-64A switch used to discipline you as a child65-66A music box that plays by itself whenever someone holding it dances67-68A walking cane with an iron ferrule that strikes sparks on stone69-70A flag from a ship lost at sea71-72Porcelain doll's head that always seems to be looking at you73-74A wolf's head wrought in silver that is also a whistle75-76A small mirror that shows a much older version of the viewer77-78Small, worn book of children's nursery rhymes79-80A mummified raven claw81-82A broken pendent of a silver dragon that's always cold to the touch83-84A small locked box that quietly hums a lovely melody at night but you always forget it in the morning85-86An inkwell that makes one a little nauseous when staring at it87-88An old little doll made from a dark, dense wood and missing a hand and a foot89-90A black executioner's hood91-92A pouch made of flesh, with a sinew drawstring93-94A tiny spool of black thread that never runs out95-96A tiny clockwork figurine of a dancer that's missing a gear and doesn't work97-98A black wooden pipe that creates puffs of smoke that look like skulls99-00A vial of perfume, the scent of which only certain creatures can detect"
"Trinket","EET","1","none","adventuring gear","","","","","","","When you make your character, you can roll once on the Trinkets table to gain a trinket, a simple item lightly touched by mystery. The DM might also use this table. It can help stock a room in a dungeon or fill a creatures pockets.Elemental Evil Trinket Tabled100Trinket01A compass that always points to Mulmaster02A paper fan that won't produce a breeze no matter how hard it's waved03A petrified potato that resembles someone important to you04A glass cup that can only be filled half way no matter how much liquid is poured into it05A mirror that only shows the back of your head06A small glass bird that when set down near water dips its head in as if to get a drink07A lady's coin purse containing two sharp fangs08A small sea conch with the words ""From the beginning"" painted on the lip09A frost-covered silver locket that's frozen shut10A seal which imprints a mysterious, unknown coat of arms into hard rock11A small wooden doll that when held brings back fond memories12A small hand mirror which only reflects inanimate objects13A glass eyeball that looks about of its own accordance, and can roll around14A glass orb that replicates yesterday's weather inside itself15A drinking cup, that randomly fills with fresh or salt water. Refilling once emptied16A deep blue piece of flint, that when struck with steel produces not a spark but a drop of water17A conch shell which is always damp and constantly drips saltwater18A charred, half-melted pewter clasp that glows as if smoldering but releases no heat19A clockwork finch that flaps its wings in the presence of a breeze20An unbreakable sealed jar of glowing water that hums when shaken21A small, finely polished geode whose crystals slowly fade between every color of the spectrum22A rough stone eye pulled from a petrified creature23A stone smoking pipe that never needs lighting24A small whistle, that when blown, whispers a name of a person or place unknown to you, instead of the whistle sound25A fist sized rock that ""beats"" like a heart26A pair of bronze scissors in the shape of a pair of leaping dolphins27A bronze oil lamp which is rumored to have once held a genie28A single gauntlet inscribed with a fire motif and an unfamiliar name in Primordial29A one-eyed little fish inside a spherical vial, much bigger than the vial's neck, He has a cunning look30The tiny skull of a rabbit that whispers scathing insults when nobody is looking31A rag doll in the likeness of an owlbear32The desiccated body of a small eight-legged black lizard33A small toy boat made with a walnut shell, toothpick, and piece of cloth34A small pocket mirror that slowly fogs over while held35Wind chimes that glow when the wind blows36A small, clay square with an unknown rune etched into one side37A tea kettle that heats itself when filled with water38An old scratched monocle which shows an underwater landscape whenever someone looks through it39A rose carved from coral40A set of dice with elemental symbols and primordial runes instead of pips or numbers41An amulet filled with liquid that churns, freezes, or boils to match it's wearer's mood42A small silver bell that makes a sound like quiet, distant thunder when it's struck43A small vial of black sand that glows slightly in the moonlight44A small whale tooth with etched with an image of waves crashing upon a beach45An hourglass in which the sands pour upward instead of downward46A glass pendant with a hole in the center that a mild breeze always blows out of47A soft feather that falls like a stone when dropped48A large transparent gem that, when gripped tightly, whispers in Terran49A small crystal snowglobe that, when shaken, seems to form silhouettes of dancing forms50Half of a palm-sized geode that pulses dimly with purple light51A book filled with writing that only appears when the book is held underwater52A sealed envelope made of red leather that you haven't been able to open. It smells of campfire53A locket of hair that is rumored to have come from a famed fire genasi54Flint and steel that, when used to start a fire, creates a random colored flame55A blank piece of wet parchment that never seems to dry56A small puzzle box made of brass, that is slightly warm to the touch57A cloudy chunk of glass that is said to hold a spark of breath from a blue dragon58A crude chalice made of coal59A miniature brass horn, silent when played, but fills the air with the scent of warm and exotic spices60An eye-sized blue pearl that floats in salt water61A tuning fork made from a dark metal which glows with a pale, white light during thunderstorms62A small vial that is always filled with the smell of autumn wind63A clear marble that slowly rolls toward the nearest source of running water64A small collapsible silver cup that perspires constantly when opened65An hourglass that tells time with falling mist instead of sand66An ornate razor, which only cuts in freezing cold temperature67A shark tooth covered in tiny etched words from a lost language68A large brass coin with no markings or images on it69A small wooden box filled with a strange red clay70A necklace with a small, rusted iron anchor71A small brass flute adorned with silver wire that is always faintly sounding72A red and black Aarakocra feather73A palm-sized stone with a hole in it, through which can be heard a constantly whispering wind74A small conch shell covered in black crystal75A small music box made of brass. It features a pair of tiny automatons that resemble Azer working at a forge76A glass jar containing the preserved corpse of an unfamiliar aquatic creature77A piece of petrified wood carved into the shape of a seashell78A wooden puzzle cube covered in elemental symbols79A small stone cube that acts as a magnet when placed against another stone80A ring made of a white metal. On the inside is a name etched in Auran81A bracelet made of silvered fish hooks82A journal filled with poetry hand-written in Primordial83A yellow gemstone that glows dimly when a storm is nearby84A charred chisel with an unfamiliar symbol stamped into its base85A canteen filled with a foul smelling orange mud86A faceless doll made of driftwood87A heavy iron key bearing the name of a ship long lost to the sea88A small jewelry box made from the shell of a turtle89A chess piece fashioned to look like fire myrmidon90A spinning top with an image of one of the four elements on each side91A single hoop earring made of a porous red stone92An arrowhead carved from seasalt93A small comb made of blue coral94Seven small beads of sandstone on a string, all different colors95A romance chapbook written in Undercommon titled ""Just one Layer of Grey""96A tiny, broken clockwork Harpy97An ivory whale statuette98A fist-sized cog, covered in barnacles99An eyepatch made of obsidian and a black leather cord100A glass bottle with a tiny ship of unfamiliar design inside"
